UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans
204006,Miami University-Hamilton,2017,0,26,2751,5491,78,53,64,16,9,78,3913,41,4182,4716
204015,Miami University-Middletown,2017,0,24,1973,5491,77,54,69,14,13,77,3846,41,4119,4833
204024,Miami University-Oxford,2017,0,79,19700,11880,71,50,91,14,0,78,11894,11,4340,7876
204121,Moler Hollywood Beauty Academy,2017,0,63,92,,2,99,54,15,0,96,5580,91,5750,6566
204176,Mount Carmel College of Nursing,2017,0,73,1069,19759,83,90,67,10,21,90,3649,32,3431,6026
204185,University of Mount Union,2017,0,62,2257,29560,80,48,75,13,0,99,17954,32,4516,8619
204194,Mount Vernon Nazarene University,2017,0,63,2222,18696,85,63,79,9,14,95,17541,41,3829,7151
204200,Mount St. Joseph University,2017,0,61,2010,28100,71,61,71,11,3,100,17305,44,4674,8154
204255,Zane State College,2017,0,38,2514,4560,91,56,62,19,4,78,4595,50,4444,3425
204264,Muskingum University,2017,0,48,2369,26900,78,56,75,12,12,100,20030,50,4633,8683
204422,North Central State College,2017,0,19,3050,3016,86,59,53,16,7,87,4194,51,3992,2622
204440,Northwest State Community College,2017,0,27,3620,3776,63,35,71,24,10,86,3715,48,3645,3180
204459,Toledo Public Schools Adult and Continuing Education,2017,0,74,110,,20,75,95,15,0,91,4197,91,4166,4867
204477,Northeast Ohio Medical University,2017,0,,930,,,,,,,,,,,
204486,University of Northwestern Ohio,2017,0,57,3741,9965,66,19,69,25,9,93,5382,45,4774,7186
204501,Oberlin College,2017,0,86,2853,52762,64,58,91,9,0,86,28876,11,3881,5685
204608,Ohio Technical College,2017,0,73,883,,70,6,67,16,0,99,5385,69,3923,7368
204617,Ohio Dominican University,2017,0,47,1714,30500,54,55,62,14,5,99,20493,40,4207,6126
204635,Ohio Northern University,2017,0,76,3088,30120,77,44,82,11,0,99,20796,27,4185,13652
204662,Ohio State University Agricultural Technical Institute,2017,0,41,707,6876,93,49,73,16,0,85,4196,33,3681,7101
204671,Ohio State University-Lima Campus,2017,0,38,1018,6912,83,57,65,19,0,88,3255,32,4218,5462
204680,Ohio State University-Mansfield Campus,2017,0,48,1061,6912,78,51,68,18,3,88,4280,40,4649,6607
204699,Ohio State University-Marion Campus,2017,0,43,1198,6912,81,52,70,19,0,93,4299,37,4315,4867
204705,Ohio State University-Newark Campus,2017,0,38,2623,6912,69,50,68,28,1,79,4696,41,4515,5589
204714,Ohio State Beauty Academy,2017,0,60,115,,74,97,76,16,0,95,4717,70,4921,7014
204723,Ohio State College of Barber Styling,2017,0,70,223,,25,21,84,20,0,95,4795,86,4491,3464
204769,The Spa School,2017,0,71,107,,59,99,88,21,0,70,2533,35,3268,4330
204778,Ohio State School of Cosmetology-Canal Winchester,2017,0,49,102,,60,88,70,20,0,78,4044,55,3906,3788
204796,Ohio State University-Main Campus,2017,0,83,59837,9718,68,48,94,19,2,80,9730,16,4326,7479
204802,Ohio University-Eastern Campus,2017,0,41,611,4740,91,62,57,14,15,83,4252,40,4276,3105
